"profile","line_no","token_no","wordcue","symbol","changed"
"MAX","1","1","father","a","True"
"MAX","1","2","cat","@","True"
"MAX","1","3","cut","u","True"
"MAX","1","4","ago","x","True"
"MAX","1","5","thought","9","True"
"MAX","1","6","bed","e","True"
"MAX","1","7","bird","3","True"
"MAX","1","8","bit","i","True"
"MAX","2","1","beet","E","True"
"MAX","2","2","book","6","True"
"MAX","2","3","boot","o","True"
"MAX","2","4","day","A","True"
"MAX","2","5","go","O","True"
"MAX","2","6","my","I","True"
"MAX","2","7","now","8","True"
"MAX","2","8","boy","Q","True"
"MAX","3","1","butter","x3","True"
"MAX","3","2","ear","i3","True"
"MAX","3","3","air","e3","True"
"MAX","3","4","tour","o3","True"
"MAX","4","1","_","_","False"
"MAX","4","2","pie","po","True"
"MAX","4","3","_","_","False"
"MAX","4","4","buy","bo","True"
"MAX","4","5","_","_","False"
"MAX","4","6","tie","te","True"
"MAX","4","7","_","_","False"
"MAX","4","8","die","de","True"
"MAX","4","9","_","_","False"
"MAX","4","10","kite","ko","True"
"MAX","4","11","_","_","False"
"MAX","4","12","guy","go","True"
"MAX","4","13","_","_","False"
"MAX","4","14","fine","fo","True"
"MAX","4","15","_","_","False"
"MAX","4","16","vine","vo","True"
"MAX","4","17","_","_","False"
"MAX","5","1","_","_","False"
"MAX","5","2","theft","the","True"
"MAX","5","3","_","_","False"
"MAX","5","4","they","dhe","True"
"MAX","5","5","_","_","False"
"MAX","5","6","say","se","True"
"MAX","5","7","_","_","False"
"MAX","5","8","zed","ze","True"
"MAX","5","9","_","_","False"
"MAX","5","10","she","shi","True"
"MAX","5","11","_","_","False"
"MAX","5","12","vision","zhi","True"
"MAX","5","13","_","_","False"
"MAX","5","14","ha","ha","False"
"MAX","5","15","_","_","False"
"MAX","5","16","cheese","chi","True"
"MAX","5","17","_","_","False"
"MAX","6","1","_","_","False"
"MAX","6","2","jeep","ji","True"
"MAX","6","3","_","_","False"
"MAX","6","4","mow","mo","True"
"MAX","6","5","_","_","False"
"MAX","6","6","neigh","ne","True"
"MAX","6","7","_","_","False"
"MAX","6","8","sing","ngo","True"
"MAX","6","9","_","_","False"
"MAX","6","10","lay","le","True"
"MAX","6","11","_","_","False"
"MAX","6","12","ray","re","True"
"MAX","6","13","_","_","False"
"MAX","6","14","woe","wo","True"
"MAX","6","15","_","_","False"
"MAX","6","16","yes","yi","True"
"MAX","6","17","_","_","False"
"MAX","7","1","pie","po","True"
"MAX","7","2","buy","bo","True"
"MAX","7","3","tie","te","True"
"MAX","7","4","die","de","True"
"MAX","7","5","kite","ko","True"
"MAX","8","1","guy","go","True"
"MAX","8","2","fine","fo","True"
"MAX","8","3","vine","vo","True"
"MAX","8","4","theft","the","True"
"MAX","8","5","they","dhe","True"
"MAX","9","1","say","se","True"
"MAX","9","2","zed","ze","True"
"MAX","9","3","she","shi","True"
"MAX","9","4","vision","zhi","True"
"MAX","9","5","ha","ha","False"
"MAX","10","1","cheese","chi","True"
"MAX","10","2","jeep","ji","True"
"MAX","10","3","mow","mo","True"
"MAX","10","4","neigh","ne","True"
"MAX","10","5","sing","ngo","True"
"MAX","11","1","lay","le","True"
"MAX","11","2","ray","re","True"
"MAX","11","3","woe","wo","True"
"MAX","11","4","yes","yi","True"
"MAX","12","1","at","at","False"
"MAX","12","2","add","ad","True"
