"profile","line_no","token_no","wordcue","symbol","changed"
"MIN","1","1","father","a","True"
"MIN","1","2","cat","@","True"
"MIN","1","3","cut","u","True"
"MIN","1","4","thought","9","True"
"MIN","1","5","bed","e","True"
"MIN","1","6","bird","3","True"
"MIN","1","7","bit","i","True"
"MIN","1","8","beet","E","True"
"MIN","2","1","book","6","True"
"MIN","2","2","boot","o","True"
"MIN","2","3","day","A","True"
"MIN","2","4","go","O","True"
"MIN","2","5","my","I","True"
"MIN","2","6","now","8","True"
"MIN","2","7","boy","Q","True"
"MIN","2","8","ago","x","True"
"MIN","3","1","_","_","False"
"MIN","3","2","pie","po","True"
"MIN","3","3","_","_","False"
"MIN","3","4","buy","bo","True"
"MIN","3","5","_","_","False"
"MIN","3","6","tie","te","True"
"MIN","3","7","_","_","False"
"MIN","3","8","die","de","True"
"MIN","3","9","_","_","False"
"MIN","3","10","kite","ko","True"
"MIN","3","11","_","_","False"
"MIN","3","12","guy","go","True"
"MIN","3","13","_","_","False"
"MIN","3","14","fine","fo","True"
"MIN","3","15","_","_","False"
"MIN","3","16","vine","vo","True"
"MIN","3","17","_","_","False"
"MIN","4","1","_","_","False"
"MIN","4","2","theft","the","True"
"MIN","4","3","_","_","False"
"MIN","4","4","they","dhe","True"
"MIN","4","5","_","_","False"
"MIN","4","6","say","se","True"
"MIN","4","7","_","_","False"
"MIN","4","8","zed","ze","True"
"MIN","4","9","_","_","False"
"MIN","4","10","she","shi","True"
"MIN","4","11","_","_","False"
"MIN","4","12","ha","ha","False"
"MIN","4","13","_","_","False"
"MIN","4","14","cheese","chi","True"
"MIN","4","15","_","_","False"
"MIN","4","16","jeep","ji","True"
"MIN","4","17","_","_","False"
"MIN","5","1","_","_","False"
"MIN","5","2","mow","mo","True"
"MIN","5","3","_","_","False"
"MIN","5","4","neigh","ne","True"
"MIN","5","5","_","_","False"
"MIN","5","6","lay","le","True"
"MIN","5","7","_","_","False"
"MIN","5","8","ray","re","True"
"MIN","5","9","_","_","False"
"MIN","5","10","woe","wo","True"
"MIN","5","11","_","_","False"
"MIN","5","12","yes","yi","True"
"MIN","5","13","_","_","False"
"MIN","6","1","pie","po","True"
"MIN","6","2","buy","bo","True"
"MIN","6","3","tie","te","True"
"MIN","6","4","die","de","True"
"MIN","6","5","kite","ko","True"
"MIN","7","1","guy","go","True"
"MIN","7","2","fine","fo","True"
"MIN","7","3","vine","vo","True"
"MIN","7","4","theft","the","True"
"MIN","7","5","they","dhe","True"
"MIN","8","1","say","se","True"
"MIN","8","2","zed","ze","True"
"MIN","8","3","she","shi","True"
"MIN","8","4","ha","ha","False"
"MIN","9","1","cheese","chi","True"
"MIN","9","2","jeep","ji","True"
"MIN","9","3","mow","mo","True"
"MIN","9","4","neigh","ne","True"
"MIN","10","1","lay","le","True"
"MIN","10","2","ray","re","True"
"MIN","10","3","woe","wo","True"
"MIN","10","4","yes","yi","True"
"MIN","11","1","xt","xt","False"
"MIN","11","2","xd","xd","False"
"MIN","11","3","xn","xn","False"
